id,ticker,company,price,change,signal,scraped_at,trade_date,volume
132ba312-62b6-4c11-a307-5fb9144e7e55,AIRTELAFRI,Airtel Africa Plc,"₦3,323.40",+0.00%,NO DATA,2026-05-17T10:42:42.742056,2026-05-17,320000
c16826aa-3af8-479b-8df0-c787b2a32b03,MTNN,MTN Nigeria Communications PLC,₦820.00,-1.80%,SELL @ 820.0,2026-05-17T10:42:42.742056,2026-05-17,2100000
af997db7-bcfa-4915-acff-a3f513b52add,BUAFOODS,BUA Foods PLC,₦967.00,+0.00%,NO DATA,2026-05-17T10:42:42.742056,2026-05-17,490000
0e6082d7-c961-4038-8d12-0cebd0a6f965,DANGCEM,Dangote Cement Plc,"₦1,180.00",+0.00%,NO DATA,2026-05-17T10:42:42.742056,2026-05-17,1240000
146f4cee-73af-4b3c-b80b-4a633e3c144d,BUACEMENT,BUA Cement Plc,₦435.00,+0.00%,NO DATA,2026-05-17T10:42:42.742056,2026-05-17,550000
da633634-6f14-481a-a20b-cfad0d9f86da,ARADEL,Aradel Holdings Plc,"₦1,834.90",-8.69%,SELL @ 1834.9,2026-05-17T10:42:42.742056,2026-05-17,150000
2aceb77d-a42c-412a-a0d3-56a81759c3d8,SEPLAT,Seplat Energy Plc,"₦11,600.00",+0.00%,NO DATA,2026-05-17T10:42:42.742056,2026-05-17,180000
0f04565c-72f9-4ffb-b6c5-acc424be0f60,GTCO,Guaranty Trust Holding Co Plc,₦146.80,-0.47%,HOLD @ 146.8,2026-05-17T10:42:42.742056,2026-05-17,8800000
cc8972b3-894c-4de1-98cb-ab0c169059da,ZENITHBANK,Zenith Bank Plc,₦129.00,-0.85%,HOLD @ 129.0,2026-05-17T10:42:42.742056,2026-05-17,12000000
4adcc7f4-90da-4243-a2e8-d476ee4b5ed1,WAPCO,Lafarge Africa Plc,₦337.00,-0.62%,HOLD @ 337.0,2026-05-17T10:42:42.742056,2026-05-17,400000
038f32c4-23fe-4437-94ed-394e3c058934,GEREGU,Geregu Power Plc,"₦1,132.50",+0.00%,NO DATA,2026-05-17T10:42:42.742056,2026-05-17,80000
49bee5c3-7fda-4a03-a6e6-489c633af35e,NESTLE,Nestlé Nigeria Plc,"₦3,125.00",+0.00%,NO DATA,2026-05-17T10:42:42.742056,2026-05-17,85000
334e2d05-9fd8-4e6e-b6f6-80db1944bcc8,INTBREW,International Breweries Plc,₦13.00,+0.00%,NO DATA,2026-05-17T10:42:42.742056,2026-05-17,10000000
9e862f8c-66b0-43d0-a0a1-7d03334adc19,PRESCO,Presco Plc,"₦2,300.00",+0.00%,NO DATA,2026-05-17T10:42:42.742056,2026-05-17,67000
282780c7-fc30-412e-9acf-c898fea8ad48,TRANSPOWER,Transcorp Power Plc,₦272.70,+0.00%,NO DATA,2026-05-17T10:42:42.742056,2026-05-17,300000
